Trade Logs:
Date: 2023-01-01 21:00:00, Action: BUY, Price: 16606.68, Value: $0.60
Date: 2023-01-02 06:00:00, Action: SELL, Price: 16641.10, Value: $10020.73
Date: 2023-01-03 12:00:00, Action: BUY, Price: 16710.85, Value: $0.60
Date: 2023-01-04 01:00:00, Action: SELL, Price: 16701.97, Value: $10015.40
Date: 2023-01-04 19:00:00, Action: BUY, Price: 16842.36, Value: $0.59
Date: 2023-01-04 21:00:00, Action: SELL, Price: 16826.81, Value: $10006.15
Date: 2023-01-05 02:00:00, Action: BUY, Price: 16836.80, Value: $0.59
Date: 2023-01-05 17:00:00, Action: SELL, Price: 16814.48, Value: $9992.89
Date: 2023-01-05 22:00:00, Action: BUY, Price: 16837.85, Value: $0.59
Date: 2023-01-06 14:00:00, Action: SELL, Price: 16748.82, Value: $9940.05
Date: 2023-01-07 07:00:00, Action: BUY, Price: 16948.09, Value: $0.59
Date: 2023-01-08 05:00:00, Action: SELL, Price: 16943.73, Value: $9937.50
Date: 2023-01-08 16:00:00, Action: BUY, Price: 16936.87, Value: $0.59
Date: 2023-01-08 17:00:00, Action: SELL, Price: 16928.50, Value: $9932.58
Date: 2023-01-08 19:00:00, Action: BUY, Price: 16927.25, Value: $0.59
Date: 2023-01-09 22:00:00, Action: SELL, Price: 17204.83, Value: $10095.46
Date: 2023-01-10 06:00:00, Action: BUY, Price: 17203.95, Value: $0.59
Date: 2023-01-10 14:00:00, Action: SELL, Price: 17286.59, Value: $10143.96
Date: 2023-01-10 16:00:00, Action: BUY, Price: 17302.15, Value: $0.59
Date: 2023-01-11 01:00:00, Action: SELL, Price: 17458.05, Value: $10235.36
Date: 2023-01-12 08:00:00, Action: BUY, Price: 18151.52, Value: $0.56
Date: 2023-01-12 23:00:00, Action: SELL, Price: 18846.62, Value: $10627.31
Date: 2023-01-13 01:00:00, Action: BUY, Price: 18811.48, Value: $0.56
Date: 2023-01-13 02:00:00, Action: SELL, Price: 18835.48, Value: $10640.87
Date: 2023-01-14 09:00:00, Action: BUY, Price: 20523.75, Value: $0.52
Date: 2023-01-15 04:00:00, Action: SELL, Price: 20698.14, Value: $10731.29
Date: 2023-01-15 10:00:00, Action: BUY, Price: 20732.83, Value: $0.52
Date: 2023-01-15 13:00:00, Action: SELL, Price: 20705.79, Value: $10717.29
Date: 2023-01-16 07:00:00, Action: BUY, Price: 21109.23, Value: $0.51
Date: 2023-01-16 23:00:00, Action: SELL, Price: 21185.65, Value: $10756.09
Date: 2023-01-18 15:00:00, Action: BUY, Price: 21042.73, Value: $0.51
Date: 2023-01-18 17:00:00, Action: SELL, Price: 20887.85, Value: $10676.92
Date: 2023-01-19 00:00:00, Action: BUY, Price: 20694.01, Value: $0.52
Date: 2023-01-20 02:00:00, Action: SELL, Price: 21079.66, Value: $10875.90
Date: 2023-01-20 04:00:00, Action: BUY, Price: 20991.01, Value: $0.52
Date: 2023-01-21 17:00:00, Action: SELL, Price: 23226.65, Value: $12034.23
Date: 2023-01-22 01:00:00, Action: BUY, Price: 22792.13, Value: $0.53
Date: 2023-01-22 19:00:00, Action: SELL, Price: 22722.15, Value: $11997.28
Date: 2023-01-22 20:00:00, Action: BUY, Price: 22459.46, Value: $0.53
Date: 2023-01-23 04:00:00, Action: SELL, Price: 22758.32, Value: $12156.92
Date: 2023-01-23 18:00:00, Action: BUY, Price: 22936.20, Value: $0.53
Date: 2023-01-23 19:00:00, Action: SELL, Price: 22792.47, Value: $12080.74
Date: 2023-01-23 22:00:00, Action: BUY, Price: 22925.32, Value: $0.53
Date: 2023-01-24 05:00:00, Action: SELL, Price: 23118.17, Value: $12182.37
Date: 2023-01-24 06:00:00, Action: BUY, Price: 23095.63, Value: $0.53
Date: 2023-01-24 09:00:00, Action: SELL, Price: 22852.79, Value: $12054.28
Date: 2023-01-25 09:00:00, Action: BUY, Price: 22607.26, Value: $0.53
Date: 2023-01-25 11:00:00, Action: SELL, Price: 22598.47, Value: $12049.59
Date: 2023-01-26 07:00:00, Action: BUY, Price: 22966.73, Value: $0.52
Date: 2023-01-27 06:00:00, Action: SELL, Price: 23002.92, Value: $12068.58
Date: 2023-01-28 02:00:00, Action: BUY, Price: 23086.84, Value: $0.52
Date: 2023-01-28 03:00:00, Action: SELL, Price: 23117.44, Value: $12084.57
Date: 2023-01-28 05:00:00, Action: BUY, Price: 23066.38, Value: $0.52
Date: 2023-01-28 15:00:00, Action: SELL, Price: 23012.54, Value: $12056.37
Date: 2023-01-28 20:00:00, Action: BUY, Price: 22966.91, Value: $0.52
